iter	Passed	Remaining
0	63	12614
1	107	10650
2	152	10003
3	186	9161
4	231	9044
5	275	8896
6	353	9743
7	395	9498
8	438	9301
9	504	9589
10	548	9424
11	589	9234
12	631	9088
13	674	8956
14	715	8824
15	758	8725
16	800	8621
17	845	8553
18	888	8459
19	929	8364
20	970	8269
21	1011	8183
22	1053	8110
23	1095	8033
24	1138	7966
25	1181	7905
26	1230	7882
27	1273	7823
28	1298	7655
29	1343	7610
30	1393	7594
31	1435	7538
32	1478	7479
33	1520	7421
34	1562	7364
35	1606	7319
36	1651	7275
37	1694	7223
38	1736	7168
39	1780	7122
40	1824	7075
41	1870	7038
42	1935	7067
43	2007	7118
44	2052	7069
45	2087	6987
46	2132	6942
47	2204	6979
48	2253	6944
49	2303	6910
50	2352	6872
51	2396	6819
52	2447	6787
53	2491	6735
54	2533	6679
55	2576	6625
56	2630	6600
57	2676	6553
58	2718	6497
59	2763	6448
60	2787	6352
61	2832	6305
62	2877	6256
63	2920	6206
64	2967	6162
65	3017	6126
66	3061	6076
67	3104	6025
68	3146	5974
69	3189	5924
70	3233	5875
71	3278	5828
72	3323	5782
73	3366	5732
74	3414	5690
75	3465	5653
76	3529	5637
77	3572	5587
78	3630	5560
79	3699	5548
80	3741	5496
81	3785	5447
82	3826	5394
83	3868	5342
84	3910	5290
85	3952	5239
86	3995	5189
87	4037	5139
88	4080	5089
89	4122	5039
90	4170	4995
91	4213	4946
92	4254	4895
93	4321	4873
94	4365	4825
95	4414	4782
96	4456	4732
97	4502	4686
98	4545	4637
99	4587	4587
100	4630	4538
101	4674	4491
102	4715	4441
103	4759	4393
104	4802	4344
105	4845	4296
106	4887	4248
107	4937	4206
108	4980	4158
109	5022	4109
110	5063	4060
111	5086	3996
112	5128	3948
113	5180	3907
114	5226	3862
115	5267	3814
116	5312	3768
117	5354	3721
118	5397	3674
119	5440	3627
120	5483	3580
121	5535	3538
122	5582	3494
123	5627	3448
124	5669	3401
125	5713	3355
126	5756	3308
127	5801	3263
128	5846	3218
129	5892	3172
130	5939	3128
131	5984	3082
132	6029	3037
133	6072	2990
134	6118	2945
135	6163	2900
136	6208	2855
137	6253	2809
138	6297	2763
139	6310	2704
140	6354	2659
141	6400	2614
142	6444	2568
143	6486	2522
144	6526	2475
145	6570	2430
146	6620	2386
147	6665	2342
148	6709	2296
149	6753	2251
150	6796	2205
151	6841	2160
152	6885	2115
153	6927	2069
154	6970	2023
155	7021	1980
156	7066	1935
157	7109	1889
158	7150	1843
159	7194	1798
160	7236	1752
161	7279	1707
162	7320	1661
163	7363	1616
164	7405	1570
165	7449	1525
166	7493	1480
167	7538	1435
168	7583	1390
169	7626	1345
170	7670	1300
171	7715	1255
172	7757	1210
173	7802	1165
174	7847	1121
175	7890	1075
176	7932	1030
177	7975	985
178	8018	940
179	8063	895
180	8106	850
181	8149	805
182	8191	760
183	8237	716
184	8282	671
185	8328	626
186	8371	581
187	8415	537
188	8461	492
189	8504	447
190	8547	402
191	8589	357
192	8635	313
193	8679	268
194	8723	223
195	8768	178
196	8841	134
197	8905	89
198	8948	44
199	8994	0
